PRODUCT_ID_PCS,PRODUCT_ID_TRIAD,DISTRIBUTOR_PART_NUMBER,ALTERNATE_PART_NUMBER
TDI1000106,1000106,56003342,002228
TDI1000106,1000106,56003342,003342
TDI1000106,1000106,56003342,462911
TDI1000106,1000106,56003342,55556002228
TDI1000106,1000106,56003342,559002228
TDI1000106,1000106,56003342,55956002228
TDI1000106,1000106,56003342,56002228
TDI1000106,1000106,56003342,56003342
TDI1000106,1000106,56003342,56462911
TDI1000106,1000106,56003342,68956002228
TDI1000106,1000106,56003342,86556002228
TDI1000106,1000106,56003342,ADV56002228
TDI1000106,1000106,56003342,AML56002228
TDI1000106,1000106,56003342,CKE56002228
TDI1000106,1000106,56003342,KNT56002228
TDI1000106,1000106,56003342,VIP56002228
TDI1000106,1000106,VIP56002228,002228
TDI1000106,1000106,VIP56002228,003342
TDI1000106,1000106,VIP56002228,462911
TDI1000106,1000106,VIP56002228,55556002228
TDI1000106,1000106,VIP56002228,559002228
TDI1000106,1000106,VIP56002228,55956002228
TDI1000106,1000106,VIP56002228,56002228
TDI1000106,1000106,VIP56002228,56003342
TDI1000106,1000106,VIP56002228,56462911
TDI1000106,1000106,VIP56002228,68956002228
TDI1000106,1000106,VIP56002228,86556002228
TDI1000106,1000106,VIP56002228,ADV56002228
TDI1000106,1000106,VIP56002228,AML56002228
TDI1000106,1000106,VIP56002228,CKE56002228
TDI1000106,1000106,VIP56002228,KNT56002228
TDI1000106,1000106,VIP56002228,VIP56002228
TDI1000129,1000129,8.600-388.0,20W86003880
TDI1000129,1000129,8.600-388.0,35215
TDI1000129,1000129,8.600-388.0,8.600-388.0
TDI1000129,1000129,8.600-388.0,86003880
TDI1000130,1000130,8.600-389.0,20W86003890
TDI1000130,1000130,8.600-389.0,35216
TDI1000130,1000130,8.600-389.0,8.600-389.0
TDI1000130,1000130,8.600-389.0,86003890
TDI1000130,1000130,8.600-389.0,WIN86003890
TDI1000130,1000130,WIN86003890,20W86003890
TDI1000130,1000130,WIN86003890,35216
TDI1000130,1000130,WIN86003890,8.600-389.0
TDI1000130,1000130,WIN86003890,86003890
TDI1000130,1000130,WIN86003890,WIN86003890